feature,coverage_pct,flag
ptt_max,30.5,DROP_>20%miss
ptt_min,30.5,DROP_>20%miss
pt_min,45.3,DROP_>20%miss
pt_max,45.3,DROP_>20%miss
inr_min,47.3,DROP_>20%miss
inr_max,47.3,DROP_>20%miss
dyn_motor_sampen,57.5,DROP_>20%miss
dyn_motor_apen,59.9,DROP_>20%miss
dyn_gcs_total_sampen,61.7,DROP_>20%miss
dyn_motor_last,62.3,DROP_>20%miss
dyn_motor_rate_per_hr,62.3,DROP_>20%miss
dyn_motor_delta,62.3,DROP_>20%miss
dyn_motor_first,62.3,DROP_>20%miss
dyn_motor_min,62.3,DROP_>20%miss
dyn_motor_sd,62.3,DROP_>20%miss
dyn_motor_cv,62.3,DROP_>20%miss
dyn_motor_max,62.3,DROP_>20%miss
dyn_motor_slope,62.3,DROP_>20%miss
gcs_verbal_min,65.1,DROP_>20%miss
gcs_verbal_first,65.1,DROP_>20%miss
dyn_motor_n,65.5,DROP_>20%miss
gcs_eye_min,65.5,DROP_>20%miss
gcs_motor_min,65.5,DROP_>20%miss
gcs_eye_first,65.5,DROP_>20%miss
gcs_motor_first,65.5,DROP_>20%miss
dyn_gcs_total_apen,68.0,DROP_>20%miss
dyn_gcs_total_last,73.4,DROP_>20%miss
dyn_gcs_total_min,73.4,DROP_>20%miss
dyn_gcs_total_first,73.4,DROP_>20%miss
dyn_gcs_total_delta,73.4,DROP_>20%miss
dyn_gcs_total_max,73.4,DROP_>20%miss
dyn_gcs_total_cv,73.4,DROP_>20%miss
dyn_gcs_total_rate_per_hr,73.4,DROP_>20%miss
dyn_gcs_total_slope,73.4,DROP_>20%miss
dyn_gcs_total_sd,73.4,DROP_>20%miss
aniongap_max,74.9,DROP_>20%miss
aniongap_min,74.9,DROP_>20%miss
dyn_gcs_total_n,76.2,DROP_>20%miss
gcs_total_first,76.2,DROP_>20%miss
gcs_total_min,76.2,DROP_>20%miss
calcium_min,87.2,keep
calcium_max,87.2,keep
bicarbonate_max,88.8,keep
platelet_min,88.8,keep
platelet_max,88.8,keep
bicarbonate_min,88.8,keep
wbc_max,89.1,keep
wbc_min,89.1,keep
hemoglobin_max,89.2,keep
hemoglobin_min,89.2,keep
hematocrit_max,89.6,keep
hematocrit_min,89.6,keep
creatinine_max,91.1,keep
chloride_min,91.1,keep
bun_max,91.1,keep
bun_min,91.1,keep
chloride_max,91.1,keep
creatinine_min,91.1,keep
sodium_min,91.4,keep
sodium_max,91.4,keep
potassium_min,91.5,keep
potassium_max,91.5,keep
rr_max,94.0,keep
rr_mean,94.0,keep
rr_min,94.0,keep
glucose_lab_min,94.3,keep
glucose_lab_max,94.3,keep
spo2_max,98.3,keep
spo2_min,98.3,keep
spo2_mean,98.3,keep
temp_mean,98.6,keep
temp_min,98.6,keep
temp_max,98.6,keep
mbp_max,98.8,keep
mbp_mean,98.8,keep
dbp_min,98.8,keep
sbp_max,98.8,keep
sbp_mean,98.8,keep
dbp_mean,98.8,keep
hr_min,98.8,keep
sbp_min,98.8,keep
hr_max,98.8,keep
dbp_max,98.8,keep
mbp_min,98.8,keep
hr_mean,98.8,keep
male,100.0,keep
age,100.0,keep
