feature,coverage_pct,flag
dyn_gcs_total_sampen,86.1,keep
dyn_motor_sampen,93.7,keep
calcium_max,96.1,keep
calcium_min,96.1,keep
ptt_max,96.8,keep
ptt_min,96.8,keep
inr_min,97.1,keep
inr_max,97.1,keep
pt_max,97.1,keep
pt_min,97.1,keep
dyn_gcs_total_apen,98.6,keep
aniongap_max,98.7,keep
aniongap_min,98.7,keep
dyn_motor_apen,98.8,keep
dyn_gcs_total_sd,98.9,keep
dyn_gcs_total_slope,98.9,keep
dyn_motor_max,98.9,keep
dyn_motor_min,98.9,keep
dyn_gcs_total_last,98.9,keep
dyn_gcs_total_min,98.9,keep
dyn_gcs_total_first,98.9,keep
dyn_motor_slope,98.9,keep
dyn_motor_sd,98.9,keep
dyn_motor_cv,98.9,keep
dyn_motor_last,98.9,keep
dyn_motor_first,98.9,keep
dyn_motor_rate_per_hr,98.9,keep
dyn_motor_delta,98.9,keep
dyn_gcs_total_rate_per_hr,98.9,keep
dyn_gcs_total_delta,98.9,keep
dyn_gcs_total_max,98.9,keep
dyn_gcs_total_cv,98.9,keep
rr_max,99.0,keep
rr_min,99.0,keep
rr_mean,99.0,keep
gcs_verbal_min,99.2,keep
gcs_verbal_first,99.2,keep
spo2_min,99.2,keep
sodium_max,99.2,keep
sodium_min,99.2,keep
gcs_total_first,99.2,keep
gcs_total_min,99.2,keep
dyn_motor_n,99.2,keep
hemoglobin_min,99.2,keep
gcs_eye_min,99.2,keep
dbp_max,99.2,keep
mbp_min,99.2,keep
hr_mean,99.2,keep
spo2_max,99.2,keep
spo2_mean,99.2,keep
mbp_mean,99.2,keep
mbp_max,99.2,keep
dbp_mean,99.2,keep
temp_max,99.2,keep
temp_mean,99.2,keep
temp_min,99.2,keep
bicarbonate_max,99.2,keep
bicarbonate_min,99.2,keep
dbp_min,99.2,keep
hr_min,99.2,keep
sbp_mean,99.2,keep
sbp_max,99.2,keep
sbp_min,99.2,keep
hr_max,99.2,keep
gcs_eye_first,99.2,keep
hemoglobin_max,99.2,keep
gcs_motor_first,99.2,keep
gcs_motor_min,99.2,keep
dyn_gcs_total_n,99.2,keep
chloride_min,99.3,keep
glucose_lab_max,99.3,keep
platelet_max,99.3,keep
wbc_min,99.3,keep
platelet_min,99.3,keep
chloride_max,99.3,keep
glucose_lab_min,99.3,keep
wbc_max,99.3,keep
bun_max,99.4,keep
bun_min,99.4,keep
creatinine_max,99.4,keep
potassium_max,99.4,keep
hematocrit_min,99.4,keep
potassium_min,99.4,keep
hematocrit_max,99.4,keep
creatinine_min,99.4,keep
male,100.0,keep
age,100.0,keep
