concept,src,itemid,label
chart,D_ITEMS,456,NBP Mean
chart,D_ITEMS,52,Arterial BP Mean
chart,D_ITEMS,6702,Arterial BP Mean #2
chart,D_ITEMS,443,Manual BP Mean(calc)
chart,D_ITEMS,220052,Arterial Blood Pressure mean
chart,D_ITEMS,220181,Non Invasive Blood Pressure mean
chart,D_ITEMS,225312,ART BP mean
chart,D_ITEMS,723,Verbal Response
chart,D_ITEMS,223900,GCS - Verbal Response
chart,D_ITEMS,454,Motor Response
chart,D_ITEMS,223901,GCS - Motor Response
chart,D_ITEMS,184,Eye Opening
chart,D_ITEMS,220739,GCS - Eye Opening
chart,D_ITEMS,762,Admit Wt
chart,D_ITEMS,763,Daily Weight
chart,D_ITEMS,3723,Birth Weight    (kg)
chart,D_ITEMS,3580,Present Weight  (kg)
chart,D_ITEMS,226512,Admission Weight (Kg)
chart,D_ITEMS,3581,Present Weight  (lb)
chart,D_ITEMS,3582,Present Weight  (oz)
chart,D_ITEMS,3420,FIO2
chart,D_ITEMS,190,FiO2 Set
chart,D_ITEMS,223835,Inspired O2 Fraction
chart,D_ITEMS,3422,FIO2 [Meas]
chart,D_ITEMS,720,Ventilator Mode
chart,D_ITEMS,223849,Ventilator Mode
chart,D_ITEMS,223848,Ventilator Type
chart,D_ITEMS,445,Mech. Minute Volume
chart,D_ITEMS,448,Minute Volume
chart,D_ITEMS,449,Minute Volume (Set)
chart,D_ITEMS,450,Minute Volume(Obser)
chart,D_ITEMS,1340,high minute volume
chart,D_ITEMS,1486,High Minute Volume
chart,D_ITEMS,1600,HIGH MINUTE VOLUME
chart,D_ITEMS,224687,Minute Volume
chart,D_ITEMS,639,Sigh Tidal Volume
chart,D_ITEMS,654,Spont. Tidal Volume
chart,D_ITEMS,681,Tidal Volume
chart,D_ITEMS,682,Tidal Volume (Obser)
chart,D_ITEMS,683,Tidal Volume (Set)
chart,D_ITEMS,684,Tidal Volume (Spont)
chart,D_ITEMS,224685,Tidal Volume (observed)
chart,D_ITEMS,224684,Tidal Volume (set)
chart,D_ITEMS,224686,Tidal Volume (spontaneous)
chart,D_ITEMS,218,High Insp. Pressure
chart,D_ITEMS,436,Low Insp. Pressure
chart,D_ITEMS,535,Peak Insp. Pressure
chart,D_ITEMS,444,Mean Airway Pressure
chart,D_ITEMS,224697,Mean Airway Pressure
chart,D_ITEMS,224695,Peak Insp. Pressure
chart,D_ITEMS,224696,Plateau Pressure
chart,D_ITEMS,224746,Transpulmonary Pressure (Exp. Hold)
chart,D_ITEMS,224747,Transpulmonary Pressure (Insp. Hold)
chart,D_ITEMS,221,I:E Ratio
chart,D_ITEMS,1,% Inspir. Time
chart,D_ITEMS,1211,Insp Time %
chart,D_ITEMS,1655,Insp. Time
chart,D_ITEMS,2000,Inspiratory Time
chart,D_ITEMS,226873,Inspiratory Ratio
chart,D_ITEMS,224738,Inspiratory Time
