drugname,n,n_pat
Norepinephrine (ml/hr),4519,133
Norepinephrine (mcg/kg/min),4279,56
Norepinephrine (mcg/min),3284,81
Norepinephrine (),1031,31
Dopamine (mcg/kg/min),846,19
Dopamine (ml/hr),351,23
Epinephrine (mcg/kg/min),256,8
Epinephrine (ml/hr),247,13
Dopamine (),101,7
Epinephrine (mcg/min),68,3
Norepinephrine STD 4 mg Dextrose 5% 250 ml (mcg/min),52,6
Norepinephrine,48,33
norepinephrine Volume (ml) (ml/hr),44,1
Epinephrine (mg/kg/min),30,5
Epinephrine (),17,2
Norepinephrine MAX 32 mg Dextrose 5% 250 ml (mcg/min),5,1
Epinephrine,5,5
DOPamine STD 400 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),4,1
Dopamine,2,2
EPINEPHrine(Adrenalin)MAX 30 mg Sodium Chloride 0.9% 250 ml (mcg/min),1,1
