celllabel,cellattr,n,n_pat
Urine,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine,159955,3731
URINE CATHETER,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|URINE CATHETER,22825,313
Urine Count,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Count,566,77
Urine Output (mL)-Urethral Catheter  ,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Output (mL)-Urethral Catheter  ,201,1
Urine Occurrence,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Occurrence,184,11
Urine Output-Foley,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Output-Foley,79,5
SN Urine Output(ml),flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|SN Urine Output(ml),61,32
Mixed Urine/Stool Volume,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Mixed Urine/Stool Volume,14,4
Urine Output-foley,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Output-foley,10,1
Urine Incontinence,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|Urine Incontinence,6,1
urine count,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|urine count,5,1
OR urine,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|OR urine,4,4
incontinent urine,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|incontinent urine,3,1
urine incontinence,flowsheet|Flowsheet Cell Labels|I&O|Output (ml)|urine incontinence,2,1
