db,t,n,events,auroc,lo,hi,anchor_24h
mimic4,6,477,79,0.8469,0.803,0.8851,False
mimic4,7,481,81,0.8518,0.8068,0.8875,False
mimic4,8,481,81,0.8629,0.8248,0.8986,False
mimic4,9,483,81,0.8636,0.8229,0.8998,False
mimic4,10,483,81,0.8617,0.8237,0.8995,False
mimic4,11,483,81,0.8689,0.8244,0.903,False
mimic4,12,483,81,0.8687,0.831,0.9044,False
mimic4,13,483,81,0.877,0.841,0.9081,False
mimic4,14,483,81,0.8893,0.8534,0.9213,False
mimic4,15,483,81,0.8908,0.8574,0.9191,False
mimic4,16,483,81,0.8946,0.8587,0.9245,False
mimic4,17,483,81,0.8964,0.8585,0.9255,False
mimic4,18,483,81,0.8993,0.8704,0.9294,False
mimic4,19,483,81,0.8996,0.8646,0.9284,False
mimic4,20,483,81,0.9071,0.8739,0.9367,False
mimic4,21,483,81,0.905,0.8724,0.9334,False
mimic4,22,483,81,0.9057,0.8721,0.9344,False
mimic4,23,483,81,0.9109,0.8763,0.9359,False
mimic4,24,483,81,0.9051,0.8772,0.9368,True
mimic4,25,481,81,0.908,0.8762,0.9373,False
mimic4,26,476,80,0.9105,0.8806,0.9374,False
mimic4,27,469,78,0.9012,0.8671,0.9311,False
mimic4,28,464,78,0.8953,0.8626,0.9284,False
mimic4,29,463,77,0.8965,0.8666,0.9274,False
mimic4,30,462,77,0.899,0.8678,0.9288,False
mimic4,31,457,76,0.8944,0.859,0.9259,False
mimic4,32,452,75,0.8965,0.8651,0.9255,False
mimic4,33,450,75,0.8956,0.8644,0.9266,False
mimic4,34,446,72,0.8889,0.8506,0.9226,False
mimic4,35,439,71,0.8859,0.8471,0.9196,False
mimic4,36,437,71,0.8894,0.8534,0.9227,False
mimic4,37,431,71,0.8904,0.8543,0.9263,False
mimic4,38,424,68,0.8854,0.8497,0.9184,False
mimic4,39,413,67,0.8863,0.8468,0.9212,False
mimic4,40,406,64,0.8932,0.852,0.9281,False
mimic4,41,401,64,0.8903,0.8557,0.9229,False
mimic4,42,394,63,0.8906,0.8535,0.9248,False
mimic4,43,386,62,0.8886,0.8491,0.9249,False
mimic4,44,377,61,0.8908,0.849,0.926,False
mimic4,45,369,60,0.8985,0.8639,0.9339,False
mimic4,46,363,59,0.8973,0.8605,0.9288,False
mimic4,47,358,58,0.901,0.8592,0.9334,False
mimic4,48,356,58,0.8995,0.8621,0.9293,False
mimic4,49,356,58,0.8972,0.8596,0.9295,False
mimic4,50,354,58,0.9027,0.8665,0.938,False
mimic4,51,353,58,0.9001,0.8593,0.9333,False
mimic4,52,346,58,0.8996,0.8625,0.9318,False
mimic4,53,341,58,0.9032,0.8609,0.937,False
mimic4,54,338,56,0.9008,0.8596,0.9392,False
mimic4,55,337,56,0.9009,0.8604,0.9385,False
mimic4,56,333,55,0.903,0.864,0.9382,False
mimic4,57,328,54,0.9044,0.8643,0.9417,False
mimic4,58,326,53,0.9026,0.8599,0.9361,False
mimic4,59,324,53,0.9012,0.8583,0.9361,False
mimic4,60,321,52,0.9011,0.8609,0.9369,False
mimic4,61,317,51,0.9008,0.8509,0.9398,False
mimic4,62,313,51,0.9053,0.8669,0.9393,False
mimic4,63,308,51,0.9029,0.8599,0.9368,False
mimic4,64,302,51,0.8958,0.8459,0.9313,False
mimic4,65,298,50,0.8969,0.8423,0.9355,False
mimic4,66,292,49,0.8904,0.8407,0.9375,False
mimic4,67,287,49,0.895,0.8495,0.938,False
mimic4,68,282,48,0.8914,0.8403,0.9344,False
mimic4,69,276,48,0.8925,0.8432,0.9347,False
mimic4,70,272,47,0.8953,0.8384,0.9368,False
mimic4,71,266,45,0.8946,0.8428,0.9408,False
mimic4,72,264,45,0.8968,0.8489,0.9369,False
eicu,6,3144,374,0.8235,0.7987,0.8432,False
eicu,7,3182,376,0.8279,0.8088,0.8494,False
eicu,8,3210,379,0.8366,0.8137,0.8606,False
eicu,9,3241,382,0.84,0.816,0.8609,False
eicu,10,3278,388,0.8422,0.8225,0.8617,False
eicu,11,3293,393,0.8434,0.8237,0.8633,False
