db,t,n,events,auroc,lo,hi,anchor_24h
mimic4,6,417,89,0.5531,0.5004,0.6147,False
mimic4,7,424,89,0.5426,0.4819,0.5996,False
mimic4,8,431,91,0.5716,0.4992,0.6318,False
mimic4,9,429,91,0.5651,0.5017,0.6276,False
mimic4,10,432,92,0.5615,0.5024,0.6228,False
mimic4,11,431,94,0.5914,0.5279,0.6503,False
mimic4,12,430,91,0.5564,0.4976,0.6117,False
mimic4,13,427,88,0.5633,0.5062,0.6227,False
mimic4,14,424,84,0.5592,0.4984,0.6203,False
mimic4,15,417,80,0.5473,0.4793,0.6099,False
mimic4,16,414,76,0.5767,0.5104,0.6476,False
mimic4,17,409,75,0.5813,0.5111,0.6438,False
mimic4,18,404,77,0.567,0.496,0.629,False
mimic4,19,396,76,0.5598,0.4913,0.6269,False
mimic4,20,390,71,0.559,0.4826,0.6223,False
mimic4,21,386,67,0.5688,0.4947,0.6337,False
mimic4,22,382,62,0.5559,0.4782,0.6281,False
mimic4,23,374,64,0.5788,0.5043,0.6512,False
mimic4,24,368,59,0.5744,0.5029,0.6485,True
mimic4,25,364,54,0.5631,0.4826,0.6386,False
mimic4,26,361,53,0.5676,0.4793,0.6529,False
mimic4,27,358,52,0.5647,0.478,0.6522,False
mimic4,28,352,55,0.5733,0.4881,0.6534,False
mimic4,29,347,49,0.5669,0.4763,0.6586,False
mimic4,30,340,49,0.5864,0.4948,0.6646,False
mimic4,31,333,47,0.5803,0.4951,0.6717,False
mimic4,32,324,41,0.6096,0.5186,0.6815,False
mimic4,33,316,40,0.6047,0.5123,0.6965,False
mimic4,34,308,41,0.5864,0.4917,0.6741,False
mimic4,35,301,41,0.5999,0.502,0.6989,False
mimic4,36,292,41,0.6038,0.5092,0.6881,False
mimic4,37,285,39,0.6112,0.5146,0.6911,False
mimic4,38,274,44,0.6065,0.5239,0.6898,False
mimic4,39,268,42,0.6,0.509,0.6913,False
mimic4,40,262,39,0.6115,0.5137,0.7012,False
mimic4,41,253,35,0.6948,0.5977,0.79,False
mimic4,42,251,36,0.6894,0.5965,0.7718,False
mimic4,43,249,39,0.7093,0.626,0.7912,False
mimic4,44,247,40,0.6996,0.6082,0.7849,False
mimic4,45,244,37,0.7152,0.6258,0.8015,False
mimic4,46,238,36,0.7224,0.6286,0.7967,False
mimic4,47,236,38,0.679,0.5878,0.7757,False
mimic4,48,232,36,0.681,0.579,0.7795,False
mimic4,49,230,38,0.6841,0.5881,0.7782,False
mimic4,50,228,38,0.6839,0.5877,0.7733,False
mimic4,51,224,35,0.6906,0.5938,0.7905,False
mimic4,52,221,35,0.7034,0.6124,0.7894,False
mimic4,53,221,32,0.7102,0.6181,0.7933,False
mimic4,54,221,34,0.6933,0.6018,0.7887,False
mimic4,55,215,34,0.6901,0.5971,0.7813,False
mimic4,56,208,33,0.6753,0.5853,0.763,False
mimic4,57,207,33,0.6587,0.5651,0.7524,False
mimic4,58,202,34,0.6611,0.5581,0.7504,False
mimic4,59,200,32,0.686,0.5884,0.7757,False
mimic4,60,193,32,0.6832,0.5909,0.7775,False
mimic4,61,187,33,0.6871,0.5965,0.7743,False
mimic4,62,181,35,0.6933,0.6026,0.7742,False
mimic4,63,179,35,0.6617,0.568,0.7536,False
mimic4,64,178,28,0.6676,0.5672,0.7704,False
mimic4,65,174,25,0.7251,0.619,0.8171,False
mimic4,66,172,24,0.7272,0.6219,0.8177,False
mimic4,67,171,23,0.7515,0.6558,0.8381,False
mimic4,68,166,21,0.7366,0.6328,0.8264,False
mimic4,69,164,22,0.6956,0.5894,0.7945,False
mimic4,70,159,20,0.6658,0.5512,0.7701,False
mimic4,71,154,19,0.7084,0.5994,0.8064,False
mimic4,72,152,22,0.7217,0.6131,0.8238,False
eicu,6,2293,493,0.5657,0.5378,0.5929,False
eicu,7,2365,487,0.5616,0.5343,0.5879,False
eicu,8,2433,476,0.569,0.5425,0.5946,False
eicu,9,2463,473,0.562,0.5318,0.5913,False
eicu,10,2494,479,0.5613,0.5339,0.5892,False
eicu,11,2517,466,0.5571,0.5311,0.5817,False
eicu,12,2526,447,0.5606,0.5334,0.5897,False
