db,n_events,detected_before_event,detection_rate,warning_time_hr,sens_12h_window,spec_no_trigger,n_nonevent_for_spec,lead_time_hr
mimic4,219.0,128.0,0.5845,"{'n': 128, 'median': 20.73, 'q1': 9.05, 'q3': 41.55}",0.4521,0.4971,173.0,
mimic4,219.0,121.0,0.5525,"{'n': 121, 'median': 19.98, 'q1': 8.08, 'q3': 41.07}",0.4338,0.5202,173.0,
mimic4,,,,,,,,"{'n': 76, 'median': 165.12, 'q1': 80.97, 'q3': 334.21}"
mimic4,,,,,,,,"{'n': 74, 'median': 159.15, 'q1': 74.48, 'q3': 330.22}"
eicu,1282.0,777.0,0.6061,"{'n': 777, 'median': 23.1, 'q1': 10.95, 'q3': 43.52}",0.4758,0.4103,987.0,
eicu,1282.0,702.0,0.5476,"{'n': 702, 'median': 21.89, 'q1': 9.96, 'q3': 42.05}",0.4384,0.4458,987.0,
eicu,,,,,,,,"{'n': 385, 'median': 69.23, 'q1': 37.75, 'q3': 153.75}"
eicu,,,,,,,,"{'n': 378, 'median': 68.01, 'q1': 36.5, 'q3': 151.84}"
mimic3,444.0,277.0,0.6239,"{'n': 277, 'median': 13.18, 'q1': 7.14, 'q3': 27.18}",0.5743,0.28,200.0,
mimic3,444.0,261.0,0.5878,"{'n': 261, 'median': 12.56, 'q1': 6.43, 'q3': 26.18}",0.5405,0.295,200.0,
mimic3,,,,,,,,"{'n': 145, 'median': 162.0, 'q1': 66.0, 'q3': 282.0}"
mimic3,,,,,,,,"{'n': 145, 'median': 161.0, 'q1': 65.0, 'q3': 281.0}"
